epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,2486.79,1.29657,0.77728,1.40001,0.86471,0.86361,0.89638,0.39497,1.95094,0.90866,1.90412,0.000445756,0.000445756,0.000445756
150,2504.25,1.3085,0.80245,1.39021,0.86811,0.87242,0.89941,0.40865,1.89637,0.90987,1.82432,0.000437504,0.000437504,0.000437504
151,2520.93,1.33193,0.80496,1.40498,0.85655,0.88585,0.90476,0.41437,1.93425,0.90272,1.86274,0.000429253,0.000429253,0.000429253
152,2537.62,1.25349,0.77394,1.36818,0.86372,0.87886,0.91511,0.41395,1.93846,0.87742,1.86175,0.000421001,0.000421001,0.000421001
153,2554.26,1.26249,0.78564,1.36598,0.90431,0.88468,0.93322,0.41731,1.90336,0.87715,1.84701,0.000412749,0.000412749,0.000412749
154,2570.91,1.26591,0.76797,1.35674,0.88374,0.88775,0.92343,0.39474,1.95619,0.91225,1.88267,0.000404498,0.000404498,0.000404498
155,2587.57,1.25348,0.78504,1.36831,0.87764,0.8409,0.9018,0.38639,1.99826,0.9786,1.92873,0.000396246,0.000396246,0.000396246
156,2604.23,1.28196,0.80269,1.38532,0.8884,0.88845,0.93093,0.41233,1.93246,0.88098,1.87838,0.000387994,0.000387994,0.000387994
157,2620.91,1.31328,0.79123,1.39049,0.87047,0.88382,0.91971,0.40036,1.98036,0.93123,1.90445,0.000379743,0.000379743,0.000379743
158,2637.54,1.27779,0.777,1.38251,0.85676,0.85989,0.90462,0.39434,1.99558,0.97376,1.92453,0.000371491,0.000371491,0.000371491
159,2654.46,1.28605,0.77756,1.37985,0.84989,0.86584,0.88232,0.38954,1.98153,0.94509,1.91597,0.000363239,0.000363239,0.000363239
160,2671.17,1.24204,0.77995,1.36273,0.88508,0.89932,0.90744,0.39245,1.98158,0.87047,1.93642,0.000354988,0.000354988,0.000354988
161,2687.9,1.25112,0.7813,1.35507,0.91041,0.8985,0.92074,0.39812,1.97573,0.85356,1.89418,0.000346736,0.000346736,0.000346736
162,2704.55,1.23864,0.78192,1.35364,0.89249,0.88376,0.8971,0.39125,1.96758,0.845,1.89186,0.000338484,0.000338484,0.000338484
163,2721.22,1.23808,0.78411,1.34628,0.87163,0.83943,0.88672,0.38347,1.9983,0.92287,1.92193,0.000330233,0.000330233,0.000330233
164,2737.89,1.22132,0.76807,1.32899,0.84463,0.8469,0.86647,0.38652,2.01325,0.95203,1.93496,0.000321981,0.000321981,0.000321981
165,2754.57,1.2274,0.76971,1.33782,0.88655,0.8664,0.90507,0.39755,1.99076,0.88655,1.93581,0.000313729,0.000313729,0.000313729
166,2771.22,1.23839,0.77419,1.36013,0.90411,0.87662,0.90955,0.40881,1.97758,0.8507,1.91644,0.000305478,0.000305478,0.000305478
167,2787.92,1.22723,0.78584,1.34216,0.89819,0.88787,0.92717,0.4078,1.98079,0.82912,1.93162,0.000297226,0.000297226,0.000297226
168,2804.56,1.25438,0.79369,1.37048,0.8819,0.87066,0.90263,0.3968,1.99532,0.85237,1.89588,0.000288974,0.000288974,0.000288974
169,2821.22,1.26136,0.7751,1.35415,0.87485,0.8817,0.9013,0.38898,2.03605,0.86332,1.98259,0.000280723,0.000280723,0.000280723
170,2837.95,1.23715,0.73464,1.32447,0.86288,0.87508,0.89535,0.39886,1.98825,0.87906,1.93355,0.000272471,0.000272471,0.000272471
171,2854.61,1.26356,0.78245,1.35207,0.86915,0.89606,0.90177,0.39993,1.95265,0.85886,1.91244,0.00026422,0.00026422,0.00026422
172,2871.28,1.22793,0.75264,1.33973,0.83466,0.86034,0.88168,0.38499,1.98952,0.88526,1.91757,0.000255968,0.000255968,0.000255968
173,2888.07,1.20223,0.72881,1.32271,0.83484,0.87485,0.88018,0.38695,2.01942,0.9077,1.94819,0.000247716,0.000247716,0.000247716
174,2904.82,1.19849,0.75265,1.33129,0.85151,0.8395,0.87801,0.39363,2.00744,0.91598,1.96618,0.000239465,0.000239465,0.000239465
175,2921.59,1.20689,0.76003,1.33199,0.88916,0.85907,0.91405,0.40133,1.97608,0.90946,1.95571,0.000231213,0.000231213,0.000231213
176,2938.23,1.21958,0.75791,1.34178,0.88135,0.87839,0.91205,0.40071,1.97846,0.86513,1.9663,0.000222961,0.000222961,0.000222961
